time,open,high,low,close,volume,amount
2019-01-02 09:35:00,520.78140464,522.506016,516.52964,519.517828,1552766,945850400.0
2019-01-02 09:40:00,519.57759176,520.79848,517.5114732,517.5541616,395656,240900640.0
2019-01-02 09:45:00,517.383408,518.237176,515.56488216,515.8039372,332316,201314560.0
2019-01-02 09:50:00,516.17959512,516.52964,514.15616496,516.1454444,201370,121501600.0
2019-01-02 09:55:00,516.1454444,516.52964,511.407032,511.48387112,361837,217579824.0
2019-01-02 10:00:00,512.2608,513.10603032,511.5777856,512.26933768,290913,174563824.0
2019-01-02 10:05:00,512.26933768,513.08895496,511.28750448,512.687684,197139,118271248.0
2019-01-02 10:10:00,512.4315536,512.687684,511.85099136,512.16688552,141000,84586624.0
2019-01-02 10:15:00,512.0046696,512.1754232,508.845728,510.12638,207238,123840864.0
2019-01-02 10:20:00,510.45081184,511.833916,509.6141192,511.38141896,144127,86208736.0
2019-01-02 10:25:00,511.407032,512.1754232,511.29604216,511.97051888,51600,30925056.0
2019-01-02 10:30:00,511.98759424,512.2608,511.56071024,512.10712176,147300,88340768.0
2019-01-02 10:35:00,512.24372464,512.24372464,511.58632328,512.07297104,58321,34966832.0
2019-01-02 10:40:00,512.07297104,512.24372464,511.407032,511.7058508,59636,35750688.0
2019-01-02 10:45:00,511.7058508,512.25226232,511.407032,512.18396088,72300,43357616.0
2019-01-02 10:50:00,512.20957392,512.32910144,512.07297104,512.22664928,82470,49480560.0
2019-01-02 10:55:00,512.22664928,512.24372464,512.0900464,512.14981016,67200,40316176.0
2019-01-02 11:00:00,512.16688552,512.1754232,511.7485392,511.7485392,29101,17449696.0
2019-01-02 11:05:00,511.7485392,511.833916,511.29604216,511.41556968,47500,28458784.0
2019-01-02 11:10:00,511.42410736,511.50948416,509.85317424,510.553264,68300,40877568.0
2019-01-02 11:15:00,510.553264,511.7485392,510.18614376,511.7485392,58664,35101616.0
2019-01-02 11:20:00,511.71438848,512.2181116,510.0410032,511.39849432,137900,82541264.0
2019-01-02 11:25:00,511.39849432,511.407032,510.766706,511.407032,27100,16227488.0
2019-01-02 11:30:00,511.407032,512.14127248,511.407032,512.14127248,30059,18018112.0
2019-01-02 13:05:00,511.833916,512.1754232,510.43373648,511.0655248,94339,56482608.0
